,Cuisine,Number
1,Indian,4259
2,Chinese,2733
3,Fast Food,1987
4,Mughlai,994
5,Italian,764
6,Bakery,744
7,Continental,736
8,Cafe,703
9,Desserts,653
10,Street Food,562
11,American,390
12,Pizza,381
13,Mithai,380
14,Burger,251
15,Beverages,249
16,Asian,234
17,Thai,234
18,Ice Cream,226
19,Mexican,181
20,Biryani,177
21,Seafood,174
22,Healthy Food,150
23,European,148
24,Japanese,135
25,Finger Food,114
26,Raw Meats,114
27,Mediterranean,112
28,Salad,93
29,Sushi,75
30,Lebanese,69
31,Steak,62
32,Sandwich,53
33,Tea,48
34,Tibetan,44
35,Breakfast,41
36,Bar Food,39
37,BBQ,33
38,Bengali,29
39,Juices,29
40,French,29
41,Brazilian,28
42,Arabian,28
43,Hyderabadi,26
44,International,25
45,Southern,24
46,Kerala,23
47,Vegetarian,23
48,Middle Eastern,22
49,Malaysian,22
50,Korean,21
51,Rajasthani,21
52,Vietnamese,21
53,Grill,21
54,Kashmiri,20
55,Goan,20
56,Tapas,19
57,Tex-Mex,19
58,British,16
59,Spanish,16
60,Greek,15
61,Turkish,15
62,Indonesian,14
63,Afghani,14
64,Lucknowi,13
65,Pakistani,12
66,Modern Australian,11
67,Chettinad,11
68,Gujarati,11
69,Awadhi,11
70,Latin American,11
71,Maharashtrian,10
72,German,10
73,Cajun,10
74,Western,10
75,Andhra,10
76,Filipino,10
77,Kebab,10
78,Burmese,10
79,Contemporary,9
80,North Eastern,9
81,Nepalese,9
82,African,8
83,Hawaiian,8
84,Turkish Pizza,8
85,Parsi,8
86,Naga,8
87,Portuguese,7
88,Caribbean,7
89,Southwestern,7
90,Kiwi,6
91,Curry,6
92,Diner,6
93,South African,6
94,Bihari,6
95,Sri Lankan,5
96,Moroccan,5
97,Australian,5
98,Mangalorean,4
99,Fusion,4
100,Patisserie,4
101,Assamese,4
102,Charcoal Grill,4
103,Singaporean,4
104,Restaurant Cafe,4
105,Dim Sum,3
106,Sunda,3
107,Deli,3
108,Armenian,3
109,Iranian,3
110,Scottish,3
111,Taiwanese,2
112,Izgara,2
113,Persian,2
114,Pub Food,2
115,Belgian,2
116,South American,2
117,Argentine,2
118,Teriyaki,2
119,Cuban,2
120,New American,2
121,Cantonese,2
122,Oriya,2
123,Cuisine Varies,1
124,Peruvian,1
125,Durban,1
126,Peranakan,1
127,Malay,1
128,Irish,1
129,Malwani,1
130,Canadian,1
131,Dí_ner,1
132,Soul Food,1
133,Mineira,1
134,Fish and Chips,1
135,Bí_rek,1
